latitude,longitude,Time_Start,Time_Stop,TimeTaken 
13.0232000351,80.2274169922,32388,32408,20
13.0085697174,80.2320404053,32651,32671,20
13.0059995651,80.2474212646,32934,32964,30
12.9787397385,80.2526016235,33771,33791,20
12.9638900757,80.2468566895,33993,34009,16
12.9593601227,80.2447967529,34052,34071,19
12.9471797943,80.2400436401,34284,34304,20
12.940079689,80.2358779907,34426,34446,20
12.9399995804,80.2358474731,34456,34472,16
12.9340801239,80.2331008911,34656,34676,20
12.9133996964,80.229309082,35020,35040,20
12.9110498428,80.2289428711,35081,35097,16
12.8773899078,80.2269210815,36050,36070,20
12.8498802185,80.2266082764,36475,36495,20
12.8464002609,80.2265930176,36545,36566,21
12.8455896378,80.2266235352,36586,36615,29
12.7901296616,80.2218017578,37435,37451,16
12.7870798111,80.2206878662,37483,37502,19
12.7861995697,80.2215805054,38061,38081,20
12.7996397018,80.2233886719,38364,38380,16
12.8014802933,80.2235412598,38380,38402,22
12.8310403824,80.2293395996,38705,38726,21
12.8312997818,80.2292480469,38736,38766,30
12.8967895508,80.2276535034,39453,39469,16
12.9054403305,80.2280883789,39785,39815,30
12.9055099487,80.2281494141,39815,39835,20
12.9055900574,80.2282104492,39835,39856,21
12.9213399887,80.2302627563,40048,40064,16
12.9486198425,80.2404632568,40349,40379,30
12.9716596603,80.2498016357,40773,40790,17
13.0222902298,80.2264709473,41853,41869,16
13.0257501602,80.2306671143,41962,41992,30
13.0383195877,80.2466430664,42387,42408,21
13.0542602539,80.2536468506,42752,42772,20
13.0618801117,80.2626190186,43045,43065,20
13.0656995773,80.2673187256,43176,43192,16
13.0815496445,80.2758407593,45843,45863,20
13.0747995377,80.2763595581,45994,46010,16
13.0651903152,80.2676391602,46265,46285,20
13.0564403534,80.2571563721,46579,46595,16
13.0359601974,80.2463302612,47012,47032,20
13.0312595367,80.2404937744,47154,47184,30
13.0266599655,80.2334289551,47275,47305,30
13.0234804153,80.2277374268,47386,47406,20
13.0066604614,80.2434005737,47841,47857,16
13.0060300827,80.2473907471,47970,47991,21
12.99036026,80.2508087158,48161,48183,22
12.9647197723,80.2472686768,48658,48674,16
12.9469099045,80.2399520874,48898,48918,20
12.9340000153,80.2330474854,49090,49110,20
12.8992595673,80.227897644,49495,49525,30
12.8789100647,80.2267837524,49727,49743,16
12.8727798462,80.2267303467,49796,49816,20
12.8397197723,80.2276992798,50089,50109,20
12.8322601318,80.2291564941,50180,50210,30
12.8043003082,80.2239532471,50483,50499,16
12.7862195969,80.2216567993,51338,51368,30
12.7963895798,80.2229537964,51621,51641,20
12.8055400848,80.2241210938,51752,51781,29
12.8197698593,80.230430603,51902,51922,20
12.8455600739,80.2265319824,52205,52225,20
12.8796195984,80.2266769409,52610,52626,16
12.9223299026,80.2304229736,53103,53119,16
12.9524402618,80.2418212891,53485,53501,16
12.9669599533,80.2479629517,53746,53766,20
12.9892997742,80.2509002686,54089,54110,21
13.0139102936,80.2232666016,54655,54673,18
13.0195999146,80.2244796753,54735,54755,20
13.0387496948,80.2467575073,55241,55271,30
13.0719995499,80.2746200562,56181,56197,16
13.0819997787,80.2754364014,56452,56470,18
13.0691604614,80.2721786499,58463,58484,21
13.0679197311,80.271156311,58524,58544,20
13.0656003952,80.2677688599,58605,58635,30
13.0568304062,80.2587966919,58928,58944,16
13.0399799347,80.247177124,59239,59260,21
13.0355596542,80.2462234497,59331,59351,20
13.0316495895,80.241317749,59593,59610,17
13.0149497986,80.2260665894,59986,60016,30
13.012049675,80.2271575928,60066,60083,17
12.9772596359,80.2515411377,60853,60869,16
12.9652700424,80.2474517822,60961,60982,21
12.9576702118,80.2440719604,61114,61130,16
12.9566402435,80.2436676025,61130,61152,22
12.9411802292,80.2361907959,61395,61411,16
12.8992004395,80.2279205322,62050,62070,20
12.8722496033,80.2267303467,62494,62511,17
12.8399600983,80.2276763916,62816,62846,30
12.8322200775,80.2291793823,62927,62947,20
12.7871103287,80.220703125,63566,63586,20
12.7866001129,80.2205200195,63677,63697,20
12.7222995758,80.1875991821,64637,64658,21
12.7220602036,80.1877975464,64668,64688,20
12.722319603,80.1874389648,66447,66467,20
12.7237195969,80.1877593994,66498,66518,20
12.7850198746,80.2198028564,67197,67217,20
12.785779953,80.2202377319,67308,67329,21
12.8051099777,80.224067688,67632,67648,16
12.8315296173,80.2292785645,68034,68054,20
12.8451404572,80.2265777588,68246,68267,21
12.8735799789,80.2266998291,68661,68681,20
12.8746500015,80.2268295288,68782,68802,20
12.8752403259,80.2268981934,68853,68883,30
12.8759298325,80.2269363403,68914,68934,20
12.8767404556,80.2269134521,68974,68994,20
12.8866195679,80.2270965576,69106,69122,16
12.8917198181,80.2273178101,69144,69163,19
12.9028596878,80.2280426025,69336,69356,20
12.9137096405,80.2293014526,69569,69589,20
12.920630455,80.2302703857,69670,69686,16
12.9354600906,80.2336578369,69852,69875,23
12.9472303391,80.2400131226,69978,69998,20
12.9487304688,80.2406234741,70029,70059,30
12.9511203766,80.2414169312,70089,70109,20
12.9563503265,80.2433624268,70182,70202,20
12.9589595795,80.2445373535,70243,70263,20
13.0049600601,80.2473297119,71080,71100,20
13.0058097839,80.2471008301,71171,71191,20
13.006529808,80.2458724976,71262,71282,20
13.0356197357,80.2461471558,72253,72273,20
13.0431499481,80.2479324341,72404,72420,16
13.0610198975,80.2617874146,72786,72803,17
13.0663204193,80.2682495117,72926,72946,20
13.0818796158,80.2756195068,73654,73684,30
13.0819196701,80.2758712769,73704,73724,20
13.0818004608,80.2773666382,74596,74616,20
13.0501804352,80.2070465088,830,850,20
13.050160408,80.2070617676,991,1012,21
13.0502004623,80.2070388794,1012,1042,30
13.0490598679,80.2071304321,22265,22295,30
