No,day,month,latitude,longitude,bus_id,seconds,No
372510,6,3,13.05109978,80.2061615,45214920406,52693,372510
372512,6,3,13.05109978,80.2061615,45214920406,52693,372512
372514,6,3,13.05109978,80.2061615,45214920406,52693,372514
372516,6,3,13.05109978,80.2061615,45214920406,52693,372516
372517,6,3,13.05109978,80.2061615,45214920406,52693,372517
372518,6,3,13.05109978,80.2061615,45214920406,52693,372518
372519,6,3,13.05109978,80.2061615,45214920406,52693,372519
372520,6,3,13.05109978,80.2061615,45214920406,52693,372520
372521,6,3,13.05109978,80.2061615,45214920406,52693,372521
372522,6,3,13.05109978,80.2061615,45214920406,52693,372522
372523,6,3,13.05109978,80.2061615,45214920406,52693,372523
372524,6,3,13.05109978,80.2061615,45214920406,52693,372524
372525,6,3,13.05109978,80.2061615,45214920406,52693,372525
372526,6,3,13.05109978,80.2061615,45214920406,52693,372526
372527,6,3,13.05109978,80.2061615,45214920406,52693,372527
372528,6,3,13.05109978,80.2061615,45214920406,52693,372528
372529,6,3,13.05109978,80.2061615,45214920406,52693,372529
372530,6,3,13.05109978,80.2061615,45214920406,52693,372530
372531,6,3,13.05109978,80.2061615,45214920406,52693,372531
374470,6,3,13.05072021,80.20610809,45214920406,52959,374470
374542,6,3,13.05072021,80.20610809,45214920406,52969,374542
374616,6,3,13.05072021,80.20610809,45214920406,52979,374616
374690,6,3,13.05072021,80.20610809,45214920406,52989,374690
374765,6,3,13.05072021,80.20610809,45214920406,52999,374765
374781,6,3,13.05072021,80.20610809,45214920406,53001,374781
374793,6,3,13.05072021,80.20610809,45214920406,53001,374793
374794,6,3,13.05072021,80.20610809,45214920406,53001,374794
374796,6,3,13.05072021,80.20610809,45214920406,53001,374796
374797,6,3,13.05072021,80.20610809,45214920406,53001,374797
374798,6,3,13.05072021,80.20610809,45214920406,53001,374798
374799,6,3,13.05072021,80.20610809,45214920406,53001,374799
374800,6,3,13.05072021,80.20610809,45214920406,53001,374800
374801,6,3,13.05072021,80.20610809,45214920406,53001,374801
374802,6,3,13.05072021,80.20610809,45214920406,53001,374802
374803,6,3,13.05072021,80.20610809,45214920406,53001,374803
374805,6,3,13.05072021,80.20610809,45214920406,53001,374805
374806,6,3,13.05072021,80.20610809,45214920406,53001,374806
374807,6,3,13.05072021,80.20610809,45214920406,53001,374807
374808,6,3,13.05072021,80.20610809,45214920406,53001,374808
374809,6,3,13.05072021,80.20610809,45214920406,53001,374809
374810,6,3,13.05072021,80.20610809,45214920406,53001,374810
